STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total_threats,Total_fem,safety_index
MADHYA PRADESH,Total District(s),2014,5076,5688,733,9609,429,6451,0,27986,35014503,0.000799269
MAHARASHTRA,Ahmednagar,2014,103,85,13,269,8,264,0,742,54131277,1.37E-05
MAHARASHTRA,Akola,2014,52,32,5,219,20,136,0,464,54131277,8.57E-06
MAHARASHTRA,Amravati Commr.,2014,27,24,1,132,12,108,0,304,54131277,5.62E-06
MAHARASHTRA,Amravati Rural,2014,103,59,8,415,17,213,0,815,54131277,1.51E-05
MAHARASHTRA,Aurangabad Commr.,2014,27,38,2,227,5,164,0,463,54131277,8.55E-06
MAHARASHTRA,Aurangabad Rural,2014,31,25,7,177,3,218,0,461,54131277,8.52E-06
MAHARASHTRA,Beed,2014,70,49,3,273,1,316,0,712,54131277,1.32E-05
MAHARASHTRA,Bhandara,2014,28,18,3,73,14,40,0,176,54131277,3.25E-06
MAHARASHTRA,Buldhana,2014,57,33,22,253,36,152,0,553,54131277,1.02E-05
MAHARASHTRA,Chandrapur,2014,99,39,2,224,28,203,0,595,54131277,1.10E-05
MAHARASHTRA,Dhule,2014,35,40,11,98,5,207,0,396,54131277,7.32E-06
MAHARASHTRA,Gadchiroli,2014,22,6,0,32,2,16,0,78,54131277,1.44E-06
MAHARASHTRA,Gondia,2014,58,19,6,113,3,46,0,245,54131277,4.53E-06
MAHARASHTRA,Hingoli,2014,24,16,4,80,0,83,0,207,54131277,3.82E-06
MAHARASHTRA,Jalgaon,2014,66,76,1,347,34,374,0,898,54131277,1.66E-05
MAHARASHTRA,Jalna,2014,33,31,13,185,8,289,0,559,54131277,1.03E-05
MAHARASHTRA,Kolhapur,2014,84,47,8,176,7,150,0,472,54131277,8.72E-06
MAHARASHTRA,Latur,2014,57,84,4,174,2,323,0,644,54131277,1.19E-05
MAHARASHTRA,Mumbai Commr.,2014,607,280,22,1626,363,563,0,3461,54131277,6.39E-05
MAHARASHTRA,Mumbai Railway,2014,1,10,0,55,4,0,0,70,54131277,1.29E-06
MAHARASHTRA,Nagpur Commr.,2014,113,89,10,279,25,234,0,750,54131277,1.39E-05
MAHARASHTRA,Nagpur Railway,2014,3,2,0,20,0,0,0,25,54131277,4.62E-07
MAHARASHTRA,Nagpur Rural,2014,65,34,4,187,25,85,0,400,54131277,7.39E-06
MAHARASHTRA,Nanded,2014,43,53,6,147,3,180,0,432,54131277,7.98E-06
MAHARASHTRA,Nandurbar,2014,25,17,2,36,4,47,0,131,54131277,2.42E-06
MAHARASHTRA,Nasik Commr.,2014,28,33,3,101,3,200,1,369,54131277,6.82E-06
MAHARASHTRA,Nasik Rural,2014,87,85,17,224,5,383,0,801,54131277,1.48E-05
